Организация,Ссылка,Адрес,Раздел,Категория,Тип,Отзывов,Заголовок,Отзыв,Тег,Оценка,Дата посещения,Дата отзыва,Количество лайков,Имя,Профиль,Количество подписок,Количество подписчиков,Количество публикаций,Количество блаодарностей,Критик уровня,Количество посещенных городов,Место проживания,Год регистрации
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,"Отель хороший, но есть недостатки","Отель огромный, в самом центре - практически все в пешей доступности. Номер люкс комфорт - огромный, хорошо оборудованный. Но есть некоторые проблемы. Даже не знаю как это назвать. Странности какие-то. Вот например, в номере есть электрический чайник, заварочный чайник, чашки, но нет чая или кофе. На ресепшн ответили, что не положено. Прикиньте! В лучшем номере отеля нет даже пары пакетиков чая! Муж поинтересовался бритвенным набором, ответили, что это стоит 15 рублей. Что за странности? Это что новые методы экономии? На копеечных пакетиках чая и столь же копеечных бритвенных наборах. Мы, конечно, сходили в супермаркет напротив и все это купили. Дело же не деньгах, а в имидже отеля. Кроме того, рум-сервис - та еще песня! Написано, что можно заказать по меню, которое есть в номере. Но в номере нет никакого меню! Если спуститься на ресепшн, там мекню покажут! Это просто цирк какой-то! Неужели тяжело распечамтать и положить в номерах. Или на бумаге тоже экономят? Это уже больше на жлобство похоже. Видимо, это вопрос к владельцам отеля. К персоналу претензий нет. Девочки стараются как могут. Завтраки прекрасные, разнообразные, вкусные. Уборка отличная, ресеппшн приветливый. Да! Вот еще один недостаок. Сауна. Хотели сходить, но в результате отказались от этой затеи. Во-первых, прохода из отеля в сауну нет. Надо выйти на улице, пройти под арку на парковку, потом вдоль парковки ко входу в сауну. Это, конечно, нас не остановило. И весьма нехилая цена тоже. Пошли. Долго-долго стояли под дверью, звонили, стучали, но нам никто не открывал. Решили, что такая сауна нам не нужна. Пошли обратно. Уже дошли до арки, когда дверь в сауну все-таки открылась, но мы уже туда не пошли. Это просто безобразное отношение к клиентам.",,4,сентябрь 2022 г.,сент. 2022 г.,0,NVS1961,https://www.tripadvisor.ru/Profile/NVS1961,1,1,252,166,6,237,"Москва, Россия",окт. 2016 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Твердая четверка,"Проживал в номере бизнес 1-местный. Отель расположен в самом центре города. Сам номер чистый, есть все необходимое, очень понравилась ванная комната, свежие полотенца. Почему-то очень узкая кровать, еле-еле на ней помещаешься. Завтраки для такого большого отеля довольно-таки слабые, практически нет выбора, понравилась свежая мята для чая.",,4,июнь 2022 г.,июнь 2022 г.,0,Leykand,https://www.tripadvisor.ru/Profile/Leykand,0,0,294,308,6,98,"Москва, Россия",дек. 2012 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,"Очень доволен, и не первый раз","Знаком с этой гостинице с 2006 года. Тогда был потрясён её размерами, ""шведским столом"" на завтрак, картами-ключами. Потом был долгий период, когда останавливался в соседней гостинице. Наконец, в мае 2021 года смог остановится в ""Урале"". О популярности гостиницы у приезжающих говорит то, что практически на две недели вперёд ни одного свободного места. Правда, сам с толпами проживающих сталкивался только на завтраке, ужине и в лобби, ибо поселили в самой дальней части гостиницы. В этой части тихо, но ходить устанешь (эта часть параллельна Комсомольскому проспекту, если посмотрите на фото фасада, поймёте). Wi-Fi и там работал хорошо. Номер не особо велик, но достаточного размера. Есть холодильник, стаканы, чайная чашка, приветственная пол-литровая бутылка воды и приветственные (? не положили новых) два пакетика чая. Лопатка для обуви, одёжная щётка, губка для обуви в наличии. В ванной комнате целых четыре полотенца, мыло и шампунь из настенных диспенсеров, есть фен. Душевая удобная, хотя стенка и неполная у неё. Ах, забыл фишку гостиницы - приветственная шоколадка. По качеству, так себе молочный шоколад. А раньше была конфета пермской фабрики. Сантехнику с 2006 года меняли: помню, что тогда на смесителях и сливном бачке была эмблема Мотовилихинского завода, а сейчас уже нет. В коридоре стоит несколько кулеров, воду в них меняют даже ночью, если нужно. Про питание. Есть варианты с завтраком, полным и полупансионом. В нашем случае, ресторан даже на ужин работал только на проживающих, не принимая никого со стороны, - столько было на пансионе. На завтрак ""шведский стол"". Выбор блюд разнообразный. Насчёт изменений в меню не понял, так как завтракал два раза. Есть кофемашина. Зачем сосиски со стручками фасоли? Ну такой выбор шеф-повара. Картофель в ломтиках подгоревший был. Да, в зале стоит повар, который готовит яичницу и блины на заказ. На ужин подают салат, основное блюдо, компот, чай, десерт. Порции достаточные. А ещё фишка гостиницы в части питания - это услуга ""ранний завтрак"". Подаётся по предварительному заказу с 4-30 до 6-30 в лобби-баре. В меню каша, сырники, яичница с сосиской, кофе или чай. Можно взять всё или часть. Удобно, для вылетающих или уезжающих ранними рейсами. Кому и это не подошло, выдадут сухой паёк. В самой гостинице есть фитнес-зал, сауна, несколько конференц-залов, турагентство, сувениры - можно вообще никуда не ходить :) Располагается она в самом центре города, на улице Ленина, напротив ЦУМа, краевой администрации и филармонии. Рядышком Эспланада, Комсомольский проспект и набережная Камы. Не разочарован спустя столько лет.",,5,май 2021 г.,май 2021 г.,0,Tdima1980,https://www.tripadvisor.ru/Profile/Tdima1980,2,0,3 173,342,6,167,"Реутов, Россия",май 2017 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Ох ах и ух,Плюсы: сильно натоплено. Расположение.  Минусы: Неудобный матрас. Душно (вентиляция только окном). Омерзительные завтраки и кофе на них. Там же «Вода питьевая» не питьевая на вкус. За окном грохочет трамвай. Цена постоя не адекватна.,,3,ноябрь 2020 г.,нояб. 2020 г.,1,SergeyLobanovMos,https://www.tripadvisor.ru/Profile/SergeyLobanovMos,4,0,820,243,6,121,"Суздаль, Россия",дек. 2014 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Вполне комфортный отель в удобном месте,"Жила в отеле несколько дней, будучи в командировке. Номер одноместный стандарт. Номер не слишком просторный, но вполне комфортный. Кровать полуторная, удобная. Есть подставка под чемодан, большой стол, за которым в случае необходимости удобно поработать с ноутбуком и документами. Санузел нормальный, все исправно, змеевик горячий, влажности нет. Wi-fi хороший, стабильный. В прихожей шкаф-купе с зеркальной дверью, отделением с вешалками и с полками. Есть кондиционер. В номере есть чашка, стакан, бутылки с водой. На этаже есть кулер.  По виду это типично советская гостиница, где был сделан основательный декоративный ремонт. В номере ремонт не люксовый, но вполне приличный, как и мебель. Местами заметны следы советского наследия- в декоре холлов у лифта, в страшном ковролине в коридоре и номере. Но это не критично.  Отель расположен в очень удобном месте, в самом центре. Через дорогу в минуте ходьбы - облагороженная рекреационная зона Эспланада, где работает большой и достойный музыкальный фонтан, и просто приятно прогуляться. В пешей доступности от отеля много заведений общепита на любой вкус и кошелек, и набережная, где замечательно гулять и встречать закат.",,4,сентябрь 2020 г.,окт. 2020 г.,2,Daria_spb2016,https://www.tripadvisor.ru/Profile/Daria_spb2016,0,0,218,118,6,31,"Санкт-Петербург, Россия",март 2016 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Хороший отель за свои деньги,"Просто если понимать что это чисто Российский отель то мне в нем все нравится. Останавливался в Урале несколько раз. Все отлично. Всегда чисто, всегда тихо, удобное местонахождение, в меру приветливый, аккуратный и самодостаточный персонал. Заезжал и ночью и утром. Один раз без брони, приехал посреди ночи за 10 минут, подготовили номер. Вкусные завтраки и совершенно не дорого. Обязательно приеду ещё и порекомендую друзьям и коллегам. Молодцы, я очень надеюсь что у них будет так и дальше.",,5,февраль 2020 г.,отзыв июль 2020,2,L V,https://www.tripadvisor.ru/Profile/lv598,0,0,6,12,2,3,"Московская Область, Россия",июль 2020 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Неплохо,"Останавливаюсь второй раз, в целом неплохо. Правда второй раз проблемы с сантехникой((, сейчас мастер уже 10 минут ремонтирует кран. Первый раз были проблемы с душем. Мастера приходят быстро. Гостиница в центре города, завтраки неплохие. Сегодня в Перми плюс 32, кондиционера в номере нет, очень душно, но жить можно. Останавливаюсь не более чем на один день, для командировок подойдёт.",,4,июль 2020 г.,отзыв июль 2020,0,Наталья С,https://www.tripadvisor.ru/Profile/X3209XZ_,0,0,61,17,4,19,"Москва, Россия",апр. 2018 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Хороший отель,"Очень понравилась гостиница. Всегда приветливый персонал персонал, готовый ответить на любые вопросы. Хорошие комфортабельные номера. На завтрак шведский стол. Сама гостиница расположена не далеко от основных достопримечательностей Перми.",,5,февраль 2020 г.,февр. 2020 г.,0,xrust102,https://www.tripadvisor.ru/Profile/xrust102,0,0,13,1,2,4,"Уфа, Россия",июль 2017 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Пермь в ноябре,"Прилетели в Пермь в 4-00. Сразу отправились в отель. У стойки размещения нас быстро обслужили, но была какая то заминка с бронированием, но администратор во всем быстро разобрался. Отель старой советской постройки, но все отремонтировано и выглядит неплохо. В номерах чисто, аккуратно. Отель старается выйти на уровень европейских сетевых отелей, желаем им в этом направлении успехов. Завтраки шведский стол хорошие, большой выбор еды, голодными не останетесь. Рекомендую отель для командировочных. Для остановки с семьей отель не совсем уютный и не приспособлен. Желаю отелю дальнейшего развития, расположение его в самом центре очень радует.",,3,ноябрь 2019 г.,нояб. 2019 г.,1,maximk155,https://www.tripadvisor.ru/Profile/maximk155,2,0,45,40,4,27,"Тульская область, Россия",апр. 2017 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Повидавший виды и с дурным запахом,"Останавливаюсь второй раз только из-за расположения. В номере отвратительный запах, очень холодно. Сам номер с приветом из далекого прошлого, с отвратительно неудобной ванной, плохим освещением в ней. Кровать маленькая и неудобная. На ресепшене нелояльная к гостям девица, которая на вопрос про вай-фай ответила очень не охотно и посоветовала в номере посмотреть инструкцию. Когда я оповестила по телефону о том, что в номере воняет, мне предложили спуститься вниз и ждать. Объективно в отеле не следят за сервисом и нет культуры гостеприимства ввиду того, что и так все заселяются из-за удачного расположения.",,1,ноябрь 2019 г.,отзыв нояб. 2019,0,Нина С,https://www.tripadvisor.ru/Profile/C2221UQ_,0,0,251,93,6,48,"Новосибирск, Россия",май 2015 г.
